motis_id,name
13637,Görlitzer Verkehrsbetriebe
13638,VGN
13641,Stadtbus Konstanz
13642,Landkreis Konstanz
13643,Stadtbus Singen (Htw)
13646,Freizeitverkehr
13653,Stadtverkehr Fürth
13654,Schmetterling Reisen
13655,Erlanger Stadtverkehr
13664,Hetzler & Pfadt vorher Viabus
13666,Westpfalz
13677,Reicheneder
13706,Stadtbus Weiden
13716,Wagenhäuser
13717,VGS
13721,Ratzeburg-Möllner Verkehrsbetriebe GmbH
13817,Bus Engel
13828,Lankl-Reisen
13831,Kreativ Tours GmbH
13836,"Stroh Bus-Verkehrs GmbH, Offenbach"
13837,Georg Becker GmbH & Co. KG
13838,Schau in's Land Hain GmbH
13841,Reise Fischer GmbH
13848,Staab
13856,Dillschnitter GmbH und Co. KG
13862,Omnibusverkehr Gloss
13864,Zarth GmbH1
13886,Kalmer Reisen GmbH
140,Bruns Reisen GmbH Varel
14076,Brodschelm Linie
14084,Verkehrsgesellschaft Südniedersachsen mbH
14091,Regiobus Uhlendorff GmbH & Co. KG
14092,Scheithauer Reisen
14101,Hörmooslinie
14106,Regionalbus Zweibrücken
14112,VerkehrsService GmbH Groß-Gerau
14116,Verkehrsbetriebe des Landkreises Leer GmbH
14121,Flexible Bedienformen ADK
14136,BKW Bad Wildungen
14146,Bamberg
14173,RheinRuhrBahn
14174,Regionalverkehre Start Deutschland GmbH Taunus
14177,Omnibus Verkehr Oberlausitz
14188,Verkehr Hainich OHG
14189,Verkehr Werraland OHG
14190,Verkehr Werra OHG
14192,Fass Reisen1
14193,Norddeutsche Verkehrsbetriebe Ostholstein Nord
14198,Start Deutschland GmbH
14207,Mainzer Mobilität
14247,2
14257,Rathje
143,Hermann Edzards Omnibusbetrieb
14317,Ebenbeck1
14332,Sieghart
14352,Omnibusunternehmen Paul Knühl e.K.
14357,Lippe1
14358,Lippe2
14359,Lippe3
14360,Lippe4
14361,Lippe5
14363,Lemgo
14364,Detmold
14366,GBN-moBiel-Stadtbahn
14369,GBN-AST/ALF
14370,Lübbecke A
14371,Buende B
14372,Minden C
14373,Löhne/Oey D
14374,Herford E
14377,GTSüdwest
14378,GTNord
14379,GTSüdost
14380,GTStadt
14381,GTNordwest
14393,Sohler Wangen
14397,bkr-mobility & DB Regio Bus Mitte
14398,bkr-mobility & DB Regio Bus Mitte & Sche
14407,Koenigsbrunn Stadtbus
14413,zz_TaxiXXL
14417,Busbetrieb Piehler GmbH & Co. KG
14419,Omnibusbetrieb Herzum
14420,Regionalverkehr Westsachsen GmbH
14422,Stadtverkehr Friedrichshafen
14427,Mittelhaardt Nahverkehrsgesellschaft mbH
14428,Vorderpfalz
14432,OstalbMobil
14437,Die Länderbahn GmbH
14518,Griesar Reisen GmbH
14520,Bischoff-Touristik GmbH & Co. KG
14521,bkr-mobility & Scherer Reisen
14525,Bustouristik Marenbach GmbH & Co. KG
14530,Koblenzer Verkehrsbetriebe GmbH
14531,Verkehrsbetriebe Mittelrhein AWV
14532,Martin Becker GmbH & Co. KG
14535,FriBus
14536,Westerwaldbus des Kreises Altenkirchen G
14541,Stemmler Bus GmbH
14543,KVG Zickenheiner GmbH
14544,Verkehrsbetriebe Mittelrhein VREM
14545,Verkehrsbetrieb Rhein-Westerwald GmbH
14552,Wittelsbacher Land 03 (ab j21)
14553,Paartal 01
14555,Wittelsbacher Land 01
14556,Friedberg 011
14557,Wittelsbacher Land 02 (ab j21)
14558,Bus Richard Eberhardt GmbH
14559,RBS AA + FMO SHA
14587,AK Autokraft Projekt Smile24
14617,Zarth GmbH2
14618,Behles GmbH
14620,WSW BürgerBus
14622,MEW Mobilitätszentrale Elbe-Wesr
14647,DBSch
14662,Haßberge
14667,SVL Süddeutsche Verkehrslinine GmbH &
14672,Stadtverkehr Bad Kissingen
14677,LB 7 Schütt VGN 252 - 2541
14682,ww mobility GmbH
14692,AM Bus
14732,Pfeffer_Alois
14738,Karl Beck GmbH & Co. KG
14739,Ansbacher Bäder und Verkehrs GmbH
14740,Kleinhenz
14749,Straßenbahn Vogtland
14752,04 - Fahrplan 2025 Landkreis Nürnberger
14763,SBK
14772,Bus RV Allgäu
14775,Bus RV Oberbayern
14776,Bus Bayreuth
14777,Bus Coburg
14784,SBG-Freiburg
14785,SBG-Villingen
14786,SBG-Waldshut
14789,Omnibusverkehr Abt Schwäbisch Gmünd1
14812,Via Rhein Main Mobility GmbH
14822,Verkehrsgesellschaft Merzig-Wadern
14868,SWEG_WL_EM
14872,Regionalverkehre Start Deutschland GmbH Niedersachsen-Mitte
14922,Federl
14972,SV Annaberg-Buchholz Bus
14974,Chemnitzer Modell1
14976,Stadtwerke Neumarkt OPf (SWN)
152,Jacobs Reisedienst
153,Vonau Reisedienst GmbH & Co. KG
154,AllerBus
164,Albus
165,Albus (SVG beauftragt)
1655,Eisenbahnen und Verkehrsbetriebe Elbe-Weser GmbH(Bahndaten)
1750,Verkehrsbetriebe Bachstein
1850,Heidekreis
1855,Willy Hummert Omnibusverkehr GmbH
1935,Omnibus-Nahverkehrs-Service
1990,HarzBus GbR
20,Innbus Regionalverkehr GmbH
200000,Astra Trans Carpatic
20001,MOBI-Rio
2085,Busreisen Andreesen Morten GmbH & Co. KG
2115,Gebken Reisen GmbH
2116,Hutfilters Reisedienst GmbH & Co.
2150,Verkehrsgesellschaft Landkreis Osnabrück
2156,eurobahn
22002,Intersul
22003,Internorte
22004,Transcarioca
22005,Santa Cruz
2205,Personenverkehrsgesellschaft Altmarkkreis Salzwedel mbH
2240,Reisebüro Winkelmann GmbH
2305,Reisebüro Beckermann
232,Rhäzüns-Feldis/Veulden
2345,Harzer Verkehrsbetriebe GmbH
237,SOLEA
2372,ARGE Sallwey-Frölich-Brundig
241,Barnimer Busgesellschaft mbH
243,Aachener Straßenbahn und Energieversorgungs-AG
246,Verkehrsgesellschaft Teltow-Fläming mbH
2480,Hülsmann Reisen
2505,Regionalverkehre Start Deutschland (Niedersachsen-Mitte)
251,Regionale Verkehrsgesellschaft Dahme-Spreewald mbH
252,Sörmlandstrafiken
253,Rurtalbus GmbH
255,Länstrafiken Kronoberg
2550,Scheithauer Reisen
257,Lkr. Emsland
2575,Kalmer Reisen GmbH
258,WestVerkehr GmbH
259,Verkehrsgemeinschaft Grafschaft Bentheim
2606,Weihrauch Uhlendorff GmbH
2607,Regiobus Uhlendorff GmbH & Co. KG
261,Hallandstrafiken
2610,Ilmebahn GmbH
2615,Scheithauer & Weihrauch GbR
2616,Verkehrsgesellschaft Südniedersachsen mbH
2630,Haller Busbetrieb GmbH
268,X-trafik
271,Kraftverkehrsgesellschaft Hameln mbH
272,Länstrafiken Västerbotten
273,Länstrafiken Norrbotten
275,SL
276,Skånetrafiken
277,Flygbussarna
279,Västtrafik
281,Midttrafik
286,CeBus GmbH & Co. KG
287,Arlanda Express
2910,NRC Group Finland Oy
299,Zermatt Bergbahnen AG
300,Öresundståg
3025,Reisebüro Schmidt
3030,MEW Mobilitätszentrale Elbe-Weser
3035,AM Bus
3086,BördeBus Verkehrsgesellschaft
313,Fischwenger
315,Vy Tåg
318,DSB S-tog
319,Metroselskabet
323,Salzburg AG (OBus)
325,Tåg i Bergslagen
326,Salzburg AG (Salzburger Lokalbahn)
327,Vy Bus4You
327000,TreNord
336,Sydtrafik
3385,Fenniarail Oy
341,Verkehrsmanagement Elbe-Elster GmbH
346,Verkehrsgesellschaft Oberspreewald-Lausitz mbH
360,Bodensee-Schiffsbetriebe GmbH
361,MasExpressen
365,Härjedalingen
380,Snälltåget
381,Gerdes Reisen
3849,Verkehrsbetriebe Zürich INFO+
391,Nikkaluoktaexpressen
3955,Trasporti Pubblici Luganesi SA
401,Skånetrafiken
410,TRANSAL
42,Forbus
43,Oberger
44,Tyroltours GmbH
450,Fluo Grand Est 67
456,Odense Letbane
471,GoCollective
476,Fritz Behrendt OHG
480,Glaser
486,Schöneicher Rüdersdorfer Straßenbahn GmbH
487,Strausberger Eisenbahn GmbH
50,First Greater Glasgow
50-1-1-SBLB,Stagecoach Bluebird
50-1-1-SCGL,Stagecoach West
50-1-1-SCNH,Stagecoach Midlands
50-1-1-STWS,Stagecoach West Scotland
50-1-11-SCOX,Stagecoach Oxfordshire
50-1-2-SCCU,Stagecoach Cumbria and North Lancashire
50-1-2-SCSO,Stagecoach South
50-1-3-SCEM,Stagecoach East Midlands
50-1-3-SCFI,Stagecoach East Scotland
50-1-7778034-SCNE,Stagecoach North East
50-1-7778084-NXMT,Tyne and Wear Metro
50-1-7778462-ANEA,Arriva North East
50-1-7778462-YCST,Coastliner
50-1-7778465-BNSM,Bee Network
50-1-7778468-GHCT,Gateshead Central Buses
50-1-7778481-MCGL,McGill's Bus Service
50-1-7778482-METL,Metrolink
50-1-7778484-EYMS,East Yorkshire
50-1-7778488-GNEL,Go North East
50-1-7778489-ACYM,Arriva Wales
50-1-7778489-DAGC,D & G Bus
50-1-7778503-SCMY,Stagecoach Merseyside and South Lancashire
50-1-7778505-AINT,Aintree Coachlines
50-1-7778508-AMSY,Arriva North West
