wikidata_id,name
Q1271102,Döllnitzbahn
Q1250677,Dortmund-Märkische Eisenbahn
Q1250740,Dortmunder Eisenbahn
Q1258611,Dresdner Überland-Verkehr
Q446491,Dresdner Verkehrsbetriebe
Q1258598,Dresdner Vorortsbahn
Q1155773,DSW21
Q1264281,Duisburger Verkehrsgesellschaft
Q1264290,Duisport Rail
Q1272000,Dürener Eisenbahn
Q1272008,Dürener Kreisbahn
Q1272297,Düsseldorf-Elberfelder Eisenbahn-Gesellschaft
Q873154,E-Werk und Straßenbahn Tilsit
Q1273415,E.R. Schiffahrt
Q1281591,Eckernförder Kreisbahnen
Q99941848,EfW-Verkehrsgesellschaft
Q1297177,Egenberger Reisen
Q80418474,Eibsee-Verkehrsgesellschaft
Q1311329,Eisenbahn-Bau- und Betriebsgesellschaft Pressnitztalbahn
Q1311594,Eisenbahnen und Verkehrsbetriebe Elbe-Weser
Q1311648,Eisenbahngesellschaft Potsdam
Q1287194,Eisenbahninfrastrukturgesellschaft Aurich-Emden
Q64007240,Eisenbahnmuseum Würzburg
Q1311846,Eisenbahnnetzwerk Bremen-Niedersachsen
Q63434813,Eisenhüttenstädter Personennahverkehr
Q125458267,Eisenhüttenstädter Personnahverkehr
Q1325125,Elbe Saale Bahn
Q105732879,Elbferry GmbH & Co KG
Q1326417,Elektrische Bahnen der Stadt Bonn und des Rhein-Sieg-Kreises
Q1326571,Elektrizitäts-AG vormals W. Lahmeyer & Co
Q1339754,Emsländische Eisenbahn
Q1275312,END Verkehrsgesellschaft
Q22674548,enno
Q1275358,ENRW Energieversorgung Rottweil
Q1350200,Erfurter Bahn
Q1350238,Erfurter Verkehrsbetriebe
Q15808406,Erik Walther
Q1354909,erixx
Q1309147,Erlebnisbahn Ratzeburg
Q28870838,Erms-Neckar-Bahn
Q1359988,Ernst Russ
Q1360979,Ernstbahn
Q1366149,Erzgebirgsbahn
Q1367709,Eska Stiftlandkraftverkehr
Q1276275,Euregio Verkehrsschienennetz
Q589575,Eurobahn
Q1378688,Euskirchener Kreisbahnen
Q1378919,Eutin-Lübecker Eisenbahn
Q1341488,EWN Entsorgungswerk für Nuklearanlagen
Q1386304,F. A. Vinnen & Co.
Q1386354,F. Laeisz
